t	g1r1	g1r2	g1ave	g2r1	g2r2	g2ave	g4r1	g4r2	g4ave
0.0000	0.010117	-0.0030610	0.0035280	-0.020398	-0.081309	-0.050853	-0.065417	-0.076424	-0.070920
0.0020000	0.25221	0.34394	0.29807	0.10032	0.19231	0.14631	0.12335	0.23819	0.18077
0.0040000	-0.18356	0.15026	-0.016646	-0.020398	0.11988	0.049743	-0.065417	0.23819	0.086388
0.0060000	0.17151	-0.24515	-0.036820	0.060078	-0.12155	-0.030734	0.12335	-0.20227	-0.039459
0.0080000	0.13116	0.069566	0.10036	0.10032	-0.00083200	0.049743	0.18628	-0.013501	0.086388
0.0100000	-0.10286	-0.083758	-0.093308	-0.092828	-0.00083200	-0.046830	-0.30453	-0.20227	-0.25340
0.012000	0.17151	-0.35813	-0.093308	-0.020398	-0.12155	-0.070973	-0.0024940	-0.31553	-0.15901
0.014000	-0.10286	0.069566	-0.016646	-0.060637	-0.00083200	-0.030734	-0.065417	0.28853	0.11156
0.016000	-0.26425	-0.083758	-0.17400	-0.21354	0.039406	-0.087068	-0.30453	-0.076424	-0.19048
0.018000	0.050466	-0.043409	0.0035285	-0.060637	-0.041070	-0.050853	-0.0024940	0.17527	0.086388
0.020000	-0.14321	0.15026	0.0035285	-0.060637	0.11988	0.029623	-0.19126	0.23819	0.023465
0.022000	-0.030231	-0.20480	-0.11752	-0.060637	-0.15374	-0.10719	-0.24160	-0.13935	-0.19048
0.024000	0.25221	0.029218	0.14071	0.22103	0.079645	0.15034	0.24920	-0.013501	0.11785
0.026000	-0.062510	0.15026	0.043876	0.019840	0.079645	0.049743	-0.19126	0.049423	-0.070920
0.028000	0.050466	-0.12411	-0.036820	0.019840	-0.12155	-0.050853	-0.0024940	-0.20227	-0.10238
0.030000	0.28449	0.19061	0.23755	0.25322	0.16012	0.20667	0.060430	0.17527	0.11785
0.032000	-0.10286	0.19061	0.043877	-0.020398	0.039406	0.0095040	-0.19126	0.23819	0.023465
0.034000	0.090814	-0.16445	-0.036820	0.14055	-0.15374	-0.0065915	-0.065417	-0.13935	-0.10238
0.036000	0.090814	0.15026	0.12054	0.019840	0.079645	0.049743	0.060430	0.11235	0.086388
0.038000	-0.30460	-0.12411	-0.21435	-0.17330	0.039406	-0.066949	-0.24160	0.049423	-0.096090
0.040000	0.050466	-0.43882	-0.19418	0.060078	-0.23422	-0.087069	0.060430	-0.31553	-0.12755
0.042000	-0.10286	-0.0030610	-0.052959	-0.060637	-0.00083200	-0.030734	-0.065417	0.17527	0.054927
