t	g1r1	g1r2	g1ave	g2r1	g2r2	g2ave	g3r1	g3r2	g3ave	g4r1	g4r2	g4ave
0.0000	0.00040300	0.027841	0.014122	-0.031089	0.029858	-0.00061550	0.071448	-0.16519	-0.046873	0.011633	-0.086666	-0.037517
0.0020000	-0.11117	-0.083783	-0.097474	-0.19150	-0.050305	-0.12090	-0.052960	-0.040897	-0.046929	-0.10128	-0.023910	-0.062597
0.0040000	-0.27055	-0.35487	-0.31271	-0.15140	-0.13047	-0.14093	-0.17737	-0.33921	-0.25829	-0.16402	-0.32514	-0.24458
0.0060000	0.15979	0.027841	0.093814	0.0090130	-0.010224	-0.00060550	0.19586	-0.040897	0.077480	0.26256	0.10160	0.18208
0.0080000	0.00040300	-0.043917	-0.021757	-0.11129	-0.090387	-0.10084	-0.11516	0.021250	-0.046957	-0.16402	-0.14942	-0.15672
0.0100000	0.00040300	-0.12365	-0.061623	-0.031089	0.029858	-0.00061550	0.0092440	-0.040897	-0.015827	-0.038552	-0.023910	-0.031231
0.012000	0.11994	0.33879	0.22937	0.081198	0.18217	0.13168	0.071448	0.14555	0.10850	0.19983	0.22711	0.21347
0.014000	-0.031473	-0.043917	-0.037695	-0.071192	-0.050305	-0.060748	0.13365	0.021250	0.077451	-0.10128	-0.023910	-0.062597
0.016000	0.040249	-0.012024	0.014113	0.0090130	0.10200	0.055509	0.25806	0.083398	0.17073	0.074365	-0.023910	0.025227
0.018000	0.19963	0.33879	0.26921	0.24161	0.18217	0.21189	0.19586	0.14555	0.17070	0.074365	0.16436	0.11936
0.020000	0.00040300	-0.083783	-0.041690	-0.071192	-0.090387	-0.080789	-0.052960	-0.10305	-0.078002	0.011633	-0.26238	-0.12538
0.022000	0.11994	0.027841	0.073890	0.041095	0.14209	0.091591	0.19586	0.083398	0.13963	0.011633	-0.023910	-0.0061385
0.024000	-0.071319	0.067707	-0.0018060	-0.071192	0.10200	0.015407	-0.17737	-0.10305	-0.14021	-0.10128	0.038846	-0.031219
0.026000	-0.23070	-0.20338	-0.21704	-0.23160	-0.090387	-0.16099	-0.41374	-0.040897	-0.22732	-0.22675	-0.26238	-0.24457
0.028000	-0.15101	0.027841	-0.061585	-0.11129	0.10200	-0.0046445	-0.052960	0.083398	0.015219	-0.10128	0.10160	0.00015900
0.030000	-0.34227	-0.043917	-0.19309	-0.23160	-0.050305	-0.14095	-0.17737	-0.27706	-0.22721	-0.16402	-0.19963	-0.18182
0.032000	-0.15101	-0.32298	-0.23699	-0.23160	-0.21063	-0.22112	-0.28934	-0.10305	-0.19619	-0.22675	-0.19963	-0.21319
0.034000	0.040249	-0.012024	0.014113	0.0090130	0.14209	0.075550	0.0092440	0.083398	0.046321	0.19983	0.038846	0.11934
0.036000	0.15979	-0.12365	0.018069	0.041095	-0.13047	-0.044687	0.13365	-0.27706	-0.071703	-0.038552	-0.14942	-0.093988
0.038000	0.23948	-0.083783	0.077847	0.0090130	-0.090387	-0.040687	0.19586	0.021250	0.10855	0.32529	-0.086666	0.11931
