t	g1r1	g1r2	g1ave	g2r1	g4r1
0.0000	-0.024353	0.0027690	-0.024353	-0.090904	0.050677
0.0020000	0.047940	0.0027690	0.047940	0.061601	0.050677
0.0040000	-0.024353	0.0027690	-0.024353	-0.050771	-0.075035
0.0060000	0.015810	0.083095	0.015810	-0.010638	-0.012179
0.0080000	-0.024353	0.0027690	-0.024353	-0.010638	0.050677
0.0100000	0.047940	0.0027690	0.047940	0.061601	-0.012179
0.012000	-0.024353	0.0027690	-0.024353	0.029495	0.050677
0.014000	0.015810	0.0027690	0.015810	-0.010638	0.11353
0.016000	0.088103	0.0027690	0.088103	-0.010638	-0.012179
0.018000	0.015810	0.0027690	0.015810	0.029495	0.050677
0.020000	-0.024353	0.0027690	-0.024353	-0.050771	0.050677
0.022000	0.088103	0.042932	0.088103	0.10173	-0.012179
0.024000	0.088103	0.083095	0.088103	-0.13104	0.11353
0.026000	0.015810	0.0027690	0.015810	-0.050771	-0.075035
0.028000	0.015810	-0.077557	0.015810	-0.010638	-0.012179
0.030000	0.12827	-0.077557	0.12827	-0.010638	-0.075035
0.032000	0.088103	0.0027690	0.088103	-0.010638	0.050677
0.034000	0.047940	0.0027690	0.047940	0.061601	-0.075035
0.036000	-0.024353	-0.077557	-0.024353	0.029495	-0.075035
0.038000	0.12827	-0.037394	0.12827	-0.010638	-0.075035
0.040000	0.015810	0.083095	0.015810	0.029495	0.11353
0.042000	0.015810	0.042932	0.015810	0.10173	-0.012179
0.044000	-0.024353	-0.037394	-0.024353	-0.050771	-0.012179
0.046000	0.015810	-0.11772	0.015810	-0.090904	-0.13789
0.048000	-0.024353	-0.077557	-0.024353	-0.050771	0.050677
0.050000	0.015810	0.0027690	0.015810	0.029495	-0.075035
0.052000	-0.064516	-0.037394	-0.064516	-0.090904	-0.012179
0.054000	0.015810	-0.077557	0.015810	-0.050771	0.050677
0.056000	0.047940	0.0027690	0.047940	0.029495	-0.012179
0.058000	-0.024353	0.042932	-0.024353	0.061601	-0.012179
0.060000	-0.064516	0.042932	-0.064516	-0.010638	-0.012179
0.062000	0.088103	-0.037394	0.088103	0.061601	-0.012179
0.064000	0.047940	-0.077557	0.047940	-0.010638	0.050677
0.066000	-0.024353	0.042932	-0.024353	0.029495	0.050677
0.068000	-0.064516	-0.037394	-0.064516	0.029495	-0.012179
0.070000	0.015810	0.0027690	0.015810	-0.050771	-0.012179
0.072000	0.015810	-0.037394	0.015810	0.029495	0.11353
0.074000	-0.024353	-0.037394	-0.024353	0.029495	-0.012179
0.076000	-0.024353	0.042932	-0.024353	0.029495	-0.012179
0.078000	0.088103	-0.037394	0.088103	-0.090904	-0.075035
0.080000	-0.024353	-0.037394	-0.024353	-0.010638	-0.075035
0.082000	0.047940	-0.037394	0.047940	0.061601	-0.012179
0.084000	0.015810	0.0027690	0.015810	0.029495	-0.075035
0.086000	0.015810	0.0027690	0.015810	-0.050771	-0.075035
0.088000	-0.064516	0.0027690	-0.064516	-0.050771	-0.075035
0.090000	0.015810	0.042932	0.015810	0.061601	-0.13789
0.092000	-0.024353	0.042932	-0.024353	-0.010638	0.050677
0.094000	-0.024353	0.083095	-0.024353	-0.010638	0.11353
0.096000	-0.064516	0.042932	-0.064516	0.10173	0.050677
0.098000	-0.064516	0.042932	-0.064516	-0.010638	-0.012179
0.10000	-0.10468	-0.037394	-0.10468	0.029495	-0.012179
0.10200	-0.024353	0.0027690	-0.024353	0.029495	0.050677
0.10400	-0.064516	0.0027690	-0.064516	-0.010638	0.050677
0.10600	-0.14484	-0.037394	-0.14484	-0.050771	-0.075035
0.10800	-0.024353	-0.11772	-0.024353	-0.010638	-0.012179
0.11000	0.047940	-0.077557	0.047940	-0.010638	0.050677
0.11200	-0.024353	0.0027690	-0.024353	0.061601	0.16382
0.11400	-0.10468	-0.037394	-0.10468	-0.010638	-0.075035
0.11600	-0.024353	-0.077557	-0.024353	0.061601	0.050677
0.11800	0.047940	-0.077557	0.047940	-0.050771	-0.012179
0.12000	-0.14484	0.0027690	-0.14484	0.029495	-0.012179
0.12200	-0.14484	0.0027690	-0.14484	0.061601	-0.075035
0.12400	-0.064516	-0.077557	-0.064516	0.029495	-0.012179
0.12600	-0.10468	-0.11772	-0.10468	-0.050771	0.050677
0.12800	-0.14484	-0.077557	-0.14484	0.061601	0.11353
0.13000	-0.14484	0.0027690	-0.14484	0.029495	-0.13789
0.13200	-0.14484	-0.077557	-0.14484	-0.050771	0.11353
0.13400	-0.10468	-0.11772	-0.10468	-0.010638	0.11353
0.13600	-0.14484	-0.11772	-0.14484	0.10173	-0.075035
0.13800	-0.14484	-0.077557	-0.14484	-0.010638	-0.012179
0.14000	-0.14484	-0.11772	-0.14484	-0.050771	-0.13789
0.14200	-0.14484	-0.14985	-0.14484	0.029495	0.050677
0.14400	-0.14484	-0.14985	-0.14484	0.10173	-0.012179
0.14600	-0.30549	-0.077557	-0.30549	0.029495	-0.012179
0.14800	-0.26533	-0.11772	-0.26533	-0.010638	-0.075035
0.15000	-0.18500	-0.11772	-0.18500	0.029495	-0.012179
0.15200	-0.18500	-0.11772	-0.18500	0.10173	0.050677
0.15400	-0.30549	-0.077557	-0.30549	0.061601	0.11353
0.15600	-0.22517	-0.077557	-0.22517	0.061601	0.11353
0.15800	-0.22517	-0.077557	-0.22517	-0.010638	0.11353
0.16000	-0.26533	-0.11772	-0.26533	0.029495	-0.012179
0.16200	-0.26533	-0.037394	-0.26533	0.061601	-0.012179
0.16400	-0.18500	-0.037394	-0.18500	-0.010638	-0.13789
0.16600	-0.26533	0.0027690	-0.26533	-0.010638	0.11353
0.16800	-0.30549	0.0027690	-0.30549	0.029495	-0.075035
0.17000	-0.33762	0.042932	-0.33762	0.029495	-0.13789
0.17200	-0.26533	0.083095	-0.26533	-0.010638	-0.012179
0.17400	-0.41795	0.042932	-0.41795	0.029495	0.050677
0.17600	-0.41795	0.0027690	-0.41795	0.10173	-0.012179
0.17800	-0.37779	-0.037394	-0.37779	0.029495	0.050677
0.18000	-0.37779	-0.037394	-0.37779	-0.010638	-0.075035
0.18200	-0.45811	-0.077557	-0.45811	0.029495	-0.012179
0.18400	-0.45811	0.0027690	-0.45811	0.061601	-0.012179
0.18600	-0.45811	-0.037394	-0.45811	-0.010638	-0.012179
0.18800	-0.41795	-0.11772	-0.41795	0.029495	0.16382
0.19000	-0.41795	-0.077557	-0.41795	0.029495	0.050677
0.19200	-0.45811	-0.077557	-0.45811	0.061601	-0.075035
0.19400	-0.53844	-0.11772	-0.53844	0.029495	0.050677
0.19600	-0.45811	-0.14985	-0.45811	0.10173	0.050677
0.19800	-0.53844	-0.11772	-0.53844	-0.010638	0.050677
0.20000	-0.61876	-0.077557	-0.61876	-0.010638	-0.075035
0.20200	-0.65089	-0.037394	-0.65089	0.029495	-0.075035
0.20400	-0.53844	-0.077557	-0.53844	0.061601	-0.012179
0.20600	-0.61876	-0.077557	-0.61876	0.061601	0.22667
0.20800	-0.73122	-0.037394	-0.73122	0.061601	-0.012179
0.21000	-0.73122	-0.077557	-0.73122	0.061601	-0.012179
0.21200	-0.53844	-0.11772	-0.53844	0.029495	0.050677
