t (s)	s61	s80	s100	s120	s140	s149	s189
0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.10000	0.0059661	0.0060040	0.0059595	0.0058133	0.0056880	0.0059709	0.0060314
0.20000	0.023806	0.023951	0.023793	0.023215	0.022720	0.023838	0.024081
0.30000	0.053344	0.053652	0.053365	0.052091	0.050999	0.053468	0.054013
0.40000	0.094299	0.094795	0.094458	0.092255	0.090366	0.094639	0.095610
0.50000	0.14629	0.14697	0.14677	0.14345	0.14061	0.14705	0.14857
0.60000	0.20885	0.20966	0.20994	0.20537	0.20145	0.21034	0.21253
0.70000	0.28145	0.28231	0.28354	0.27764	0.27257	0.28408	0.28706
0.80000	0.36349	0.36428	0.36708	0.35984	0.35361	0.36778	0.37168
0.90000	0.45437	0.45490	0.46005	0.45151	0.44418	0.46093	0.46586
1.0000	0.55343	0.55351	0.56191	0.55219	0.54386	0.56298	0.56908
1.1000	0.66003	0.65942	0.67210	0.66137	0.65219	0.67338	0.68075
1.2000	0.77354	0.77197	0.79005	0.77855	0.76872	0.79156	0.80033
1.3000	0.89333	0.89053	0.91520	0.90319	0.89299	0.91695	0.92723
1.4000	1.0188	1.0145	1.0470	1.0348	1.0245	1.0490	1.0609
1.5000	1.1494	1.1433	1.1849	1.1729	1.1629	1.1872	1.2008
1.6000	1.2846	1.2764	1.3284	1.3169	1.3075	1.3310	1.3464
1.7000	1.4240	1.4133	1.4770	1.4665	1.4581	1.4798	1.4972
1.8000	1.5669	1.5535	1.6303	1.6211	1.6142	1.6334	1.6528
1.9000	1.7132	1.6968	1.7877	1.7804	1.7753	1.7912	1.8127
2.0000	1.8623	1.8426	1.9490	1.9439	1.9411	1.9527	1.9765
2.1000	2.0140	1.9908	2.1137	2.1112	2.1111	2.1178	2.1438
2.2000	2.1679	2.1410	2.2815	2.2821	2.2852	2.2859	2.3143
2.3000	2.3237	2.2929	2.4521	2.4562	2.4628	2.4568	2.4876
2.4000	2.4814	2.4463	2.6252	2.6331	2.6437	2.6302	2.6635
2.5000	2.6405	2.6011	2.8005	2.8126	2.8277	2.8058	2.8417
2.6000	2.8010	2.7570	2.9778	2.9945	3.0143	2.9835	3.0219
2.7000	2.9626	2.9140	3.1568	3.1786	3.2035	3.1629	3.2040
2.8000	3.1253	3.0718	3.3375	3.3645	3.3950	3.3439	3.3877
2.9000	3.2888	3.2304	3.5196	3.5522	3.5886	3.5263	3.5729
3.0000	3.4532	3.3896	3.7029	3.7414	3.7840	3.7100	3.7593
3.1000	3.6182	3.5494	3.8874	3.9320	3.9811	3.8948	3.9470
3.2000	3.7838	3.7097	4.0728	4.1239	4.1798	4.0806	4.1356
3.3000	3.9499	3.8705	4.2592	4.3168	4.3798	4.2673	4.3252
3.4000	4.1165	4.0316	4.4463	4.5108	4.5811	4.4548	4.5156
3.5000	4.2835	4.1930	4.6341	4.7057	4.7836	4.6430	4.7067
3.6000	4.4508	4.3547	4.8225	4.9014	4.9871	4.8318	4.8985
3.7000	4.6184	4.5166	5.0115	5.0978	5.1915	5.0211	5.0908
3.8000	4.7862	4.6788	5.2010	5.2948	5.3968	5.2110	5.2837
3.9000	4.9543	4.8411	5.3909	5.4925	5.6028	5.4012	5.4769
4.0000	5.1226	5.0036	5.5812	5.6906	5.8095	5.5919	5.6706
4.1000	5.2910	5.1662	5.7718	5.8892	6.0168	5.7829	5.8647
4.2000	5.4596	5.3289	5.9627	6.0882	6.2246	5.9742	6.0590
4.3000	5.6284	5.4917	6.1539	6.2876	6.4330	6.1657	6.2536
4.4000	5.7972	5.6546	6.3453	6.4873	6.6418	6.3575	6.4485
4.5000	5.9661	5.8176	6.5370	6.6873	6.8510	6.5495	6.6436
4.6000	6.1352	5.9807	6.7288	6.8875	7.0606	6.7417	6.8388
